Ativo,Ativo Circulante,Cart. de Crédito,Depósitos,Disponibilidades,Dív. Bruta,Dív. Líquida,Patrim. Líq,ticker
366392000.0,278098000.0,,,27407000.0,126445000.0,99038000.0,60305000.0,MTRE3
331055000.0,241994000.0,,,94787400.0,51621700.0,-43165800.0,239897000.0,MTSA4
9576750000.0,1319290000.0,,,907969000.0,3103440000.0,2195470000.0,5587670000.0,MULT3
178774000.0,44488000.0,,,1508000.0,77369000.0,75861000.0,-198459000.0,MWET4
10022500000.0,3976210000.0,,,671381000.0,3359480000.0,2688100000.0,3379610000.0,MYPK3
674798000.0,370508000.0,,,49050000.0,177742000.0,128692000.0,301933000.0,NAFG3
674798000.0,370508000.0,,,49050000.0,177742000.0,128692000.0,301933000.0,NAFG4
54214800000.0,12931000000.0,,,4065620000.0,22663700000.0,18598100000.0,18974900000.0,NEOE3
54214800000.0,12931000000.0,,,4065620000.0,22663700000.0,18598100000.0,18974900000.0,NEOE3
16460000.0,763000.0,,,82000.0,37280000.0,37198000.0,-140228000.0,NORD3
1104.0,1104.0,,,1104.0,0.0,-1104.0,100.0,NTCO3
75750000.0,33617000.0,,,408000.0,13317000.0,12909000.0,-25238000.0,NUTR3
1741000000.0,771282000.0,,,501100000.0,0.0,-501100000.0,1073730000.0,ODPV3
869536000.0,425035000.0,,,45009000.0,281082000.0,236073000.0,492447000.0,OFSA3
72866500000.0,20154500000.0,,,3157120000.0,17905300000.0,14748200000.0,19917200000.0,OIBR3
72866500000.0,20154500000.0,,,3157120000.0,17905300000.0,14748200000.0,19917200000.0,OIBR4
7431740000.0,1306410000.0,,,1087100000.0,4066530000.0,2979430000.0,2767800000.0,OMGE3
3162800000.0,14446000.0,,,1610000.0,4237480000.0,4235870000.0,-4308840000.0,OSXB3
1628080000.0,543057000.0,,,137000000.0,236043000.0,99043000.0,668985000.0,PARD3
955559000.0,707312000.0,,,316624000.0,344217000.0,27593000.0,426365000.0,PATI3
955559000.0,707312000.0,,,316624000.0,344217000.0,27593000.0,426365000.0,PATI4
57991000000.0,19892000000.0,,,7954000000.0,14194000000.0,6240000000.0,10940000000.0,PCAR3
57991000000.0,19892000000.0,,,7954000000.0,14194000000.0,6240000000.0,10940000000.0,PCAR4
2135210000.0,1663000000.0,,,132045000.0,1675630000.0,1543580000.0,-4576270000.0,PDGR3
